date,open_issues
2025-10-02,21
2025-10-03,21
2025-10-04,21
2025-10-05,21
2025-10-06,21
2025-10-07,20
2025-10-08,30
2025-10-09,30
2025-10-10,30
2025-10-11,30
2025-10-12,30
